market,proxy_odd,my_book_odd,note
# Fill one row per selection you spot-check. Same fixture, same exact selection.
#   market      = the standardized market name as TiTiBet stores it (e.g. "Over 1.5",
#                 "Away Over 0.5", "BTTS Yes", "Under 3.5"). Must match signal.market.
#   proxy_odd   = the odd TiTiBet shows for that selection (its William Hill / sharp line).
#   my_book_odd = the odd YOUR book (betPawa / 888bets / Betway) offers for the SAME selection.
#   note        = optional (which book, fixture, odds band, date).
# Lines starting with '#' are ignored. Aim for 5+ rows per market you actually bet.
# Delete these example rows once you start entering real prices.
Over 1.5,1.80,1.62,betPawa MW example
Over 1.5,1.55,1.40,888bets example
Away Over 0.5,1.50,1.30,Betway example
Away Over 0.5,1.40,1.22,betPawa example
Home Over 0.5,1.30,1.18,888bets example
Under 3.5,1.70,1.50,betPawa example
BTTS Yes,1.85,1.66,Betway example
